area_title,occ_title,tot_emp
Alabama,Medical Secretaries and Administrative Assistants,"6,720"
Alabama,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","47,030"
Alabama,Data Entry Keyers,"1,670"
Alabama,Word Processors and Typists,270
Alabama,Desktop Publishers,70
Alabama,Insurance Claims and Policy Processing Clerks,"2,670"
Alabama,"Mail Clerks and Mail Machine Operators, Except Postal Service",900
Alabama,"Office Clerks, General","26,950"
Alabama,"Office Machine Operators, Except Computer",290
Alabama,Statistical Assistants,50
Alabama,"Office and Administrative Support Workers, All Other","1,380"
Alabama,"Farming, Fishing, and Forestry Occupations","5,970"
Alabama,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",270
Alabama,"Graders and Sorters, Agricultural Products",460
Alabama,Agricultural Equipment Operators,150
Alabama,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",750
Alabama,"Farmworkers, Farm, Ranch, and Aquacultural Animals","1,280"
Alabama,"Agricultural Workers, All Other",180
Alabama,Fallers,**
Alabama,Logging Equipment Operators,"2,150"
Alabama,Log Graders and Scalers,160
Alabama,"Logging Workers, All Other",70
Alabama,Construction and Extraction Occupations,"83,040"
Alabama,First-Line Supervisors of Construction Trades and Extraction Workers,"11,580"
Alabama,Boilermakers,360
Alabama,Brickmasons and Blockmasons,470
Alabama,Stonemasons,150
Alabama,Carpenters,"6,300"
Alabama,Carpet Installers,110
Alabama,"Floor Layers, Except Carpet, Wood, and Hard Tiles",230
Alabama,Tile and Stone Setters,290
Alabama,Cement Masons and Concrete Finishers,"1,970"
Alabama,Construction Laborers,"11,420"
Alabama,"Paving, Surfacing, and Tamping Equipment Operators",880
Alabama,Operating Engineers and Other Construction Equipment Operators,"7,250"
Alabama,Drywall and Ceiling Tile Installers,720
Alabama,Electricians,"9,760"
Alabama,Glaziers,630
Alabama,"Insulation Workers, Floor, Ceiling, and Wall",620
Alabama,"Insulation Workers, Mechanical",330
Alabama,"Painters, Construction and Maintenance","2,380"
Alabama,Pipelayers,"2,040"
Alabama,"Plumbers, Pipefitters, and Steamfitters","6,700"
Alabama,Plasterers and Stucco Masons,**
Alabama,Reinforcing Iron and Rebar Workers,140
Alabama,Roofers,"1,030"
Alabama,Sheet Metal Workers,"1,200"
Alabama,Structural Iron and Steel Workers,"1,370"
Alabama,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",350
Alabama,Helpers--Carpenters,380
Alabama,Helpers--Electricians,"1,890"
Alabama,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",90
Alabama,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","1,440"
Alabama,Helpers--Roofers,90
Alabama,"Helpers, Construction Trades, All Other",450
Alabama,Construction and Building Inspectors,"1,440"
Alabama,Elevator and Escalator Installers and Repairers,190
Alabama,Fence Erectors,570
Alabama,Hazardous Materials Removal Workers,630
Alabama,Highway Maintenance Workers,"3,470"
Alabama,Rail-Track Laying and Maintenance Equipment Operators,140
Alabama,Septic Tank Servicers and Sewer Pipe Cleaners,330
Alabama,Miscellaneous Construction and Related Workers,890
Alabama,"Rotary Drill Operators, Oil and Gas",50
Alabama,"Service Unit Operators, Oil and Gas",110
Alabama,"Excavating and Loading Machine and Dragline Operators, Surface Mining",610
Alabama,Continuous Mining Machine Operators,210
